,time,x_position,fwhm,fwhm_err
0,76.8,17.658,0.10988,0.00125
1,160.9,4.387,0.09586,0.00127
2,239.5,1.915,0.08593,0.00174
3,324.9,21.194,0.10567,0.00171
4,403.6,19.621,0.10692,0.00155
5,481.8,18.567,0.10758,0.00119
6,560.8,22.3,0.10676,0.00134
7,641.5,27.701,0.10399,0.00076
8,720.5,27.436,0.10602,0.00114
9,805.8,10.693,0.09917,0.002
10,890.3,25.299,0.10463,0.00117
11,977.8,2.718,0.08395,0.00157
12,1057.1,8.865,0.10063,0.0017
13,1141.9,24.925,0.1107,0.0016
14,1224.9,10.911,0.10237,0.00246
15,1303.6,13.607,0.1051,0.00142
16,1384.6,6.595,0.1,0.00142
17,1404.9,30.0,0.12984,0.00385
18,1412.8,30.0,0.11258,0.00207
19,1417.8,30.0,0.11246,0.00114
20,1422.4,30.0,0.11142,0.00095
21,1427.1,30.0,0.10905,0.00089
22,1432.4,30.0,0.09998,0.00111
23,1471.3,24.875,0.10821,0.00167
24,1551.1,19.848,0.10736,0.00111
25,1630.8,17.18,0.10818,0.00144
26,1713.5,6.521,0.09839,0.00155
27,1725.2,30.0,0.11289,0.00109
28,1796.1,18.438,0.10801,0.00113
29,1881.5,0.354,0.10549,0.0025
30,1964.9,15.417,0.10931,0.00117
31,2049.6,27.561,0.10593,0.00111
32,2134.5,11.011,0.09958,0.00432
33,2212.8,12.677,0.10408,0.00147
34,2298.2,0.216,0.10502,0.00289
35,2376.8,1.058,0.09458,0.00229
36,2462.8,21.523,0.10671,0.00146
37,2541.8,22.374,0.10761,0.00124
38,2621.6,21.564,0.10622,0.0016
39,2701.9,24.284,0.1064,0.00108
40,2784.8,11.942,0.10205,0.00175
41,2868.6,23.898,0.10667,0.00133
42,2955.6,2.477,0.0859,0.00166
43,3043.3,23.149,0.10749,0.00123
44,3127.5,10.639,0.10049,0.00203
45,3209.6,19.472,0.10766,0.00157
46,3288.5,19.671,0.10832,0.00145
47,3374.7,0.008,0.10691,0.00338
48,3453.8,3.12,0.08426,0.00145
49,3534.4,10.543,0.09913,0.00222
50,3620.5,26.876,0.10879,0.00275
51,3707.6,3.961,0.08098,0.00286
52,3789.2,9.536,0.10132,0.00175
53,3870.8,0.782,0.10069,0.0026
54,3950.1,5.241,0.08266,0.00159
55,4034.7,19.346,0.10875,0.00121
56,4115.7,11.67,0.10537,0.0015
57,4195.0,14.283,0.1038,0.00185
58,4273.8,15.749,0.10903,0.00131
59,4352.6,16.335,0.10722,0.00155
60,4437.1,2.226,0.08793,0.00189
61,4523.9,20.942,0.10854,0.00121
62,4602.6,20.932,0.10766,0.00139
63,4681.9,18.104,0.10908,0.00107
64,4761.8,19.409,0.10956,0.00121
65,4842.5,12.209,0.09865,0.00218
66,4923.9,3.559,0.08147,0.00148
67,5002.9,5.568,0.08206,0.00176
68,5083.7,12.335,0.09949,0.00213
69,5167.0,0.978,0.10236,0.00229
70,5254.3,20.108,0.11149,0.00103
71,5335.1,22.445,0.10768,0.00139
72,5416.1,17.128,0.11028,0.00116
73,5496.7,11.772,0.10138,0.00186
74,5577.3,16.289,0.11049,0.00116
75,5656.0,16.951,0.10754,0.00174
76,5738.1,23.656,0.10798,0.0013
77,5823.9,4.98,0.08029,0.00166
78,5913.6,28.784,0.10603,0.00089
79,5998.8,12.033,0.10113,0.00193
80,6078.8,7.885,0.10429,0.00158
81,6158.1,9.398,0.10258,0.00163
82,6239.6,12.823,0.10027,0.00208
83,6327.0,29.969,0.10699,0.00075
84,6412.0,14.093,0.1057,0.00136
85,6493.0,18.382,0.10898,0.00152
86,6575.7,8.96,0.10189,0.00189
87,6655.1,9.924,0.09906,0.00207
88,6742.8,27.79,0.1059,0.00083
89,6825.6,17.316,0.1093,0.0013
90,6908.6,7.379,0.09996,0.00188
91,6992.6,18.845,0.11136,0.0011
92,7077.2,4.722,0.07888,0.00301
93,7158.1,11.249,0.0984,0.00209
94,7237.9,13.204,0.10036,0.00176
95,7318.8,17.197,0.10894,0.00139
96,8707.8,17.197,0.11702,0.00236
97,10227.9,-0.0,0.03412,0.02474
